quando,candidato,motivo_auc_macro,motivo_auc_macro_std,motivo_balanced_accuracy,motivo_balanced_accuracy_std,motivo_ece,motivo_ece_std,pianto_auc_macro,pianto_auc_macro_std,pianto_balanced_accuracy,pianto_balanced_accuracy_std,pianto_ece,pianto_ece_std
2026-08-26 17:38,random,0.5000,0.0000,0.1800,0.0927,0.1612,0.0418,0.5000,0.0000,0.5000,0.0000,0.0644,0.0240
2026-08-26 17:38,A,0.4670,0.0049,0.2528,0.1080,0.1814,0.0206,0.7930,0.0395,0.7186,0.0490,0.1065,0.0544
2026-08-26 17:38,B,0.3968,0.0179,0.1210,0.0635,0.1488,0.0657,0.8802,0.0243,0.8266,0.0198,0.0906,0.0208
2026-08-26 17:39,C,0.3751,0.0438,0.1274,0.0640,0.1785,0.0434,0.9718,0.0146,0.9254,0.0246,0.0674,0.0235
2026-08-26 17:39,D,0.3828,0.0510,0.1497,0.0614,0.1298,0.0359,0.9878,0.0041,0.9440,0.0124,0.0360,0.0077
2026-08-26 17:39,E,0.5386,0.0342,0.1412,0.0869,0.1972,0.0847,0.9673,0.0200,0.9132,0.0237,0.0659,0.0095
2026-08-26 17:39,F,0.3894,0.0941,0.1367,0.0577,0.1380,0.0305,0.9817,0.0060,0.9372,0.0146,0.0426,0.0137
